year,rmse,mae,n_test
2005,1.6284523208542148,1.311901689963175,25
2006,2.1421033940984033,1.490345604650505,25
2007,3.332603714843119,2.883068292520652,25
2008,5.283330494976193,4.232559677720425,25
2009,5.311567599054174,4.56658177783282,25
2010,4.725267389368546,3.64993719108946,25
2011,3.176988399196651,2.482677341770552,25
2012,2.0654663428081084,1.525082147813382,25
2013,2.587473061235199,1.6736109475311485,25
2014,3.001070679922589,2.2273484951775377,25
2015,3.425840326378709,2.1700943236431662,25
2016,2.455003327347833,1.5659251824404097,25
2017,2.2502778420208913,1.4638051982300986,25
2018,2.0646851740060126,1.4560527403361707,25
2019,8.203802373654861,7.128662406016006,25
2020,11.386937088967795,10.68061689329326,25
2021,4.476703002434978,3.2972211362200174,25
2022,2.8130712295785845,2.4521312133059094,25
