iso3,country,gdp_growth_2030_med,gdp_growth_2030_low,gdp_growth_2030_high,top3_vulnerabilities,recommendations_short
AFG,Afghanistan,4.266964374650424,-1.5260165186525207,6.246211968303173,"['trade_dependency_index', 'shock_impact_score', 'avg_disaster_damage_percap']","['Diversify trade partners and build domestic substitute capacity for key imports.', 'Invest in disaster risk reduction and shock-absorbing fiscal mechanisms.']"
ARG,Argentina,2.0092932155807213,-3.1857919012036455,5.491167780216091,"['shock_impact_score', 'trade_dependency_index', 'avg_disaster_damage_percap']","['Diversify trade partners and build domestic substitute capacity for key imports.', 'Invest in disaster risk reduction and shock-absorbing fiscal mechanisms.']"
AUS,Australia,1.9548011375969623,-3.564090615055408,5.703775687315759,"['avg_disaster_damage_percap', 'shock_impact_score', 'trade_dependency_index']","['Diversify trade partners and build domestic substitute capacity for key imports.', 'Invest in disaster risk reduction and shock-absorbing fiscal mechanisms.']"
BEL,Belgium,5.557202746768667,-5.274235456507733,7.693529406080681,"['trade_dependency_index', 'shock_impact_score', 'avg_disaster_damage_percap']","['Diversify trade partners and build domestic substitute capacity for key imports.', 'Invest in disaster risk reduction and shock-absorbing fiscal mechanisms.']"
BGD,Bangladesh,3.837571230484512,-1.7311852224529978,5.624319799912426,"['shock_impact_score', 'trade_dependency_index', 'avg_disaster_damage_percap']","['Diversify trade partners and build domestic substitute capacity for key imports.', 'Invest in disaster risk reduction and shock-absorbing fiscal mechanisms.']"
CAN,Canada,1.7354015546683115,-3.352980398108214,5.709833802394831,"['avg_disaster_damage_percap', 'trade_dependency_index', 'shock_impact_score']","['Diversify trade partners and build domestic substitute capacity for key imports.', 'Invest in disaster risk reduction and shock-absorbing fiscal mechanisms.']"
CHN,China,2.2067625592942055,-2.8067633764799185,6.090608876435524,"['shock_impact_score', 'trade_dependency_index', 'avg_disaster_damage_percap']","['Diversify trade partners and build domestic substitute capacity for key imports.', 'Invest in disaster risk reduction and shock-absorbing fiscal mechanisms.']"
DEU,Germany,1.2216077742360747,-3.384744566971713,5.802624217548944,"['avg_disaster_damage_percap', 'trade_dependency_index', 'shock_impact_score']","['Diversify trade partners and build domestic substitute capacity for key imports.', 'Invest in disaster risk reduction and shock-absorbing fiscal mechanisms.']"
ESP,Spain,1.2600722597328646,-3.5088314832255807,5.703067725225606,"['shock_impact_score', 'avg_disaster_damage_percap', 'trade_dependency_index']","['Diversify trade partners and build domestic substitute capacity for key imports.', 'Invest in disaster risk reduction and shock-absorbing fiscal mechanisms.']"
FRA,France,1.7067810507477585,-3.0663883436329105,5.432995170489591,"['trade_dependency_index', 'shock_impact_score', 'avg_disaster_damage_percap']","['Diversify trade partners and build domestic substitute capacity for key imports.', 'Invest in disaster risk reduction and shock-absorbing fiscal mechanisms.']"
